,linkedin_job_url_cleaned,company_name,company_url,job_title,job_location,posted_date
23,https://de.linkedin.com/jobs/view/financial-data-analyst-m-f-d-at-ultramarin-3625707319,Ultramarin,https://de.linkedin.com/company/ultramarin-gmbh?trk=public_jobs_jserp-result_job-search-card-subtitle,Financial Data Analyst (m/f/d),Berlin_Germany,2023-07-20
24,https://de.linkedin.com/jobs/view/senior-data-analyst-m-f-d-at-pitch-3641771902,Pitch,https://de.linkedin.com/company/pitchhq?trk=public_jobs_jserp-result_job-search-card-subtitle,Senior Data Analyst (m/f/d),Berlin_Germany,2023-05-28
25,https://de.linkedin.com/jobs/view/data-analyst-at-talent-3634340095,Talent,https://au.linkedin.com/company/talent-international?trk=public_jobs_jserp-result_job-search-card-subtitle,Data Analyst,Berlin_Germany,2023-07-21
26,https://de.linkedin.com/jobs/view/data-analyst-at-allianz-partners-3687064914,Allianz Partners,https://fr.linkedin.com/company/allianz-partners?trk=public_jobs_jserp-result_job-search-card-subtitle,Data Analyst,Berlin_Berlin_Germany,2023-08-08
27,https://de.linkedin.com/jobs/view/data-analyst-at-gravitas-recruitment-group-global-ltd-3689224669,Gravitas Recruitment Group (Global) Ltd,https://uk.linkedin.com/company/gravitas-recruitment-group-global?trk=public_jobs_jserp-result_job-search-card-subtitle,Data Analyst,Greater Munich Metropolitan Area,2023-08-16
28,https://de.linkedin.com/jobs/view/junior-data-analyst-remote-working-from-any-european-location-at-beyond-fossil-fuels-3688498650,Beyond Fossil Fuels,https://de.linkedin.com/company/beyondfossilfuels?trk=public_jobs_jserp-result_job-search-card-subtitle,Junior Data Analyst | Remote working from any European location,Berlin_Germany,2023-08-16
29,https://de.linkedin.com/jobs/view/data-analyst-f-m-d-at-bmg-the-new-music-company-3694377740,BMG - The New Music Company,https://de.linkedin.com/company/bmg-the-new-music-company?trk=public_jobs_jserp-result_job-search-card-subtitle,Data Analyst (f/m/d),Berlin_Germany,2023-08-14
30,https://de.linkedin.com/jobs/view/data-analyst-the-data-school-deutschland-at-the-information-lab-deutschland-3649074915,The Information Lab Deutschland,https://de.linkedin.com/company/the-information-lab-deutschland?trk=public_jobs_jserp-result_job-search-card-subtitle,Data Analyst - The Data School Deutschland,Hamburg_Germany,2023-06-28
31,https://de.linkedin.com/jobs/view/data-analyst-m-w-d-at-kosatec-computer-gmbh-3685498471,KOSATEC Computer GmbH,https://de.linkedin.com/company/kosatec-computer-gmbh?trk=public_jobs_jserp-result_job-search-card-subtitle,Data Analyst (m/w/d),Brunswick_Lower Saxony_Germany,2023-08-10
32,https://de.linkedin.com/jobs/view/data-analyst-at-futurlab-3693391223,FuturLab,https://uk.linkedin.com/company/futurlab?trk=public_jobs_jserp-result_job-search-card-subtitle,Data Analyst,Hove_Lower Saxony_Germany,2023-08-17
33,https://de.linkedin.com/jobs/view/senior-data-analyst-m-w-d-at-venturi-3683745753,Venturi,https://uk.linkedin.com/company/venturigroup?trk=public_jobs_jserp-result_job-search-card-subtitle,Senior Data Analyst (m/w/d),Munich_Bavaria_Germany,2023-08-03
34,https://de.linkedin.com/jobs/view/full-time-data-analyst-f-m-x-at-suena-3679164771,suena,https://de.linkedin.com/company/suena-energy?trk=public_jobs_jserp-result_job-search-card-subtitle,Full-Time Data Analyst (f/m/x),Hamburg_Hamburg_Germany,2023-07-28
35,https://de.linkedin.com/jobs/view/data-analyst-at-kevin-3684586647,kevin.,https://lt.linkedin.com/company/kevineu?trk=public_jobs_jserp-result_job-search-card-subtitle,Data Analyst,Berlin_Berlin_Germany,2023-08-04
36,https://de.linkedin.com/jobs/view/data-analyst-m-f-d-at-parts-europe-we-support-the-sport%C2%AE%21-3692596028,PARTS EUROPE - We Support The Sport!,https://de.linkedin.com/company/partseurope?trk=public_jobs_jserp-result_job-search-card-subtitle,Data Analyst (m/f/d),Wasserliesch_Rhineland-Palatinate_Germany,2023-08-17
37,https://de.linkedin.com/jobs/view/experienced-data-analyst-m-f-d-at-roadsurfer-3674005596,roadsurfer,https://de.linkedin.com/company/roadsurfer-gmbh?trk=public_jobs_jserp-result_job-search-card-subtitle,Experienced Data Analyst (m/f/d),Munich_Bavaria_Germany,2023-07-27
38,https://de.linkedin.com/jobs/view/data-analyst-m-w-d-at-hoyer-3624281278,HOYER,https://de.linkedin.com/company/hoyer-de?trk=public_jobs_jserp-result_job-search-card-subtitle,Data Analyst (m/w/d),Visselhovede_Lower Saxony_Germany,2023-06-02
39,https://de.linkedin.com/jobs/view/data-analyst-m-f-d-at-parts-europe-we-support-the-sport%C2%AE%21-3664558550,PARTS EUROPE - We Support The Sport!,https://de.linkedin.com/company/partseurope?trk=public_jobs_jserp-result_job-search-card-subtitle,Data Analyst (m/f/d),Germany,2023-07-14
40,https://de.linkedin.com/jobs/view/game-data-analyst-fully-remote-at-softgames-3646131621,SOFTGAMES,https://de.linkedin.com/company/softgames-mobile-entertainment-services?trk=public_jobs_jserp-result_job-search-card-subtitle,Game Data Analyst (fully remote),Germany,2023-06-26
41,https://de.linkedin.com/jobs/view/data-analyst-at-lilium-3623294438,Lilium,https://de.linkedin.com/company/lilium-aviation-gmbh?trk=public_jobs_jserp-result_job-search-card-subtitle,Data Analyst,Munich_Bavaria_Germany,2023-08-16
42,https://de.linkedin.com/jobs/view/data-analyst-scientist-m-f-d-at-fraud0-com-3690374843,fraud0.com,https://de.linkedin.com/company/fraud0?trk=public_jobs_jserp-result_job-search-card-subtitle,Data Analyst / Scientist (m/f/d),Munich_Bavaria_Germany,2023-08-13
43,https://de.linkedin.com/jobs/view/marketing-game-data-analyst-at-8bit-games-industry-recruitment-3668910575,8Bit - Games Industry Recruitment,https://pl.linkedin.com/company/8bit-agency?trk=public_jobs_jserp-result_job-search-card-subtitle,Marketing & Game Data Analyst,Berlin_Berlin_Germany,2023-07-20
44,https://de.linkedin.com/jobs/view/part-time-data-analyst-f-m-x-at-suena-3671542132,suena,https://de.linkedin.com/company/suena-energy?trk=public_jobs_jserp-result_job-search-card-subtitle,Part-Time Data Analyst (f/m/x),Hamburg_Hamburg_Germany,2023-07-21
45,https://de.linkedin.com/jobs/view/junior-data-analyst-m-w-d-stahlindustrie-at-univativ-gmbh-3690906992,univativ GmbH,https://de.linkedin.com/company/univativ-gmbh?trk=public_jobs_jserp-result_job-search-card-subtitle,(Junior) Data Analyst (m/w/d) Stahlindustrie,Salzgitter_Lower Saxony_Germany,2023-08-14
46,https://de.linkedin.com/jobs/view/data-analyst-f-m-d-at-talentsconnect-ag-3586236929,talentsconnect AG,https://de.linkedin.com/company/talentsconnect-ag?trk=public_jobs_jserp-result_job-search-card-subtitle,Data Analyst (f/m/d),Cologne_North Rhine-Westphalia_Germany,2023-03-31
47,https://de.linkedin.com/jobs/view/senior-data-analyst-at-finn-3690597178,FINN,https://de.linkedin.com/company/finn-auto?trk=public_jobs_jserp-result_job-search-card-subtitle,(Senior) Data Analyst,Munich_Bavaria_Germany,2023-08-14
48,https://de.linkedin.com/jobs/view/senior-data-analyst-m-w-d-at-eigensonne-3644971232,EIGENSONNE,https://de.linkedin.com/company/eigensonne?trk=public_jobs_jserp-result_job-search-card-subtitle,Senior Data Analyst (m/w/d),Berlin_Berlin_Germany,2023-08-09
49,https://de.linkedin.com/jobs/view/data-analyst-m-f-d-at-plaion-3668957617,PLAION,https://de.linkedin.com/company/plaion?trk=public_jobs_jserp-result_job-search-card-subtitle,Data Analyst (m/f/d),Planegg_Bavaria_Germany,2023-06-25
50,https://in.linkedin.com/jobs/view/data-analyst-at-kido-3679104414,Kido,https://sg.linkedin.com/company/kidoed?trk=public_jobs_jserp-result_job-search-card-subtitle,Data Analyst,Mumbai_Maharashtra_India,2023-07-03
51,https://in.linkedin.com/jobs/view/data-analyst-at-acme-services-3545874583,Acme Services,https://in.linkedin.com/company/acmeservices?trk=public_jobs_jserp-result_job-search-card-subtitle,Data Analyst,Mumbai_Maharashtra_India,2023-03-30
52,https://in.linkedin.com/jobs/view/data-analyst-1-at-fynd-shopsense-retail-technologies-ltd-3691073873,Fynd (Shopsense Retail Technologies Ltd.),https://in.linkedin.com/company/fynd-shopsense?trk=public_jobs_jserp-result_job-search-card-subtitle,Data Analyst - 1,Mumbai_Maharashtra_India,2023-08-11
53,https://in.linkedin.com/jobs/view/data-analytics-intern-at-ketto-3691376490,Ketto,https://in.linkedin.com/company/ketto-online-ventures-private-limited?trk=public_jobs_jserp-result_job-search-card-subtitle,Data Analytics Intern,Mumbai_Maharashtra_India,2023-08-11
54,https://in.linkedin.com/jobs/view/data-analyst-at-epaylater-3691072769,ePayLater,https://in.linkedin.com/company/epaylater?trk=public_jobs_jserp-result_job-search-card-subtitle,Data Analyst,Mumbai_Maharashtra_India,2023-08-11
